id,name,scientific_name,classification,habitat,diet,conservation_status,region
310,Krystal Puma,Wright Baker,Reptile,Desert,Omnivore,Near Threatened,Antarctica
311,William Tiger,Parker Robertson,Reptile,Forest,Herbivore,Vulnerable,Asia
312,Steven Owl,Torres Navarro,Reptile,Forest,Herbivore,Near Threatened,South America
313,Heather Falcon,Bauer Farrell,Mammal,Grasslands,Herbivore,Endangered,Australia
314,Melissa Falcon,Orozco Wyatt,Bird,Wetlands,Carnivore,Endangered,Europe
315,David Falcon,Dawson Sullivan,Bird,Grasslands,Herbivore,Least Concern,Africa
316,Amy Falcon,Elliott Jenkins,Mammal,Caves,Carnivore,Near Threatened,Africa
317,Jennifer Wolf,Simpson Davis,Amphibian,Caves,Carnivore,Vulnerable,Africa
318,Courtney Bear,Escobar Coleman,Mammal,Wetlands,Omnivore,Endangered,Australia
319,Nathan Python,Adams Ray,Bird,Caves,Carnivore,Endangered,Africa
320,Ryan Python,Franklin Wilson,Fish,Mountains,Omnivore,Endangered,Africa
321,Michelle Crocodile,Garza Alexander,Amphibian,Forest,Carnivore,Critically Endangered,South America
322,Sheri Eagle,Velez Holmes,Bird,Tundra,Herbivore,Least Concern,North America
323,Julia Python,Watson Day,Reptile,Caves,Carnivore,Least Concern,Worldwide
324,Samantha Eagle,Martinez Walker,Fish,Mountains,Omnivore,Endangered,Antarctica
325,Leah Eagle,King Nelson,Mammal,Tundra,Carnivore,Least Concern,South America
326,Jeremy Tiger,Johnson Gonzalez,Amphibian,Mountains,Carnivore,Near Threatened,South America
327,Julie Falcon,Wolf Rose,Mammal,Caves,Omnivore,Least Concern,Antarctica
328,Kyle Shark,Elliott Herman,Amphibian,Rivers,Carnivore,Endangered,Africa
329,Joseph Puma,Hurst Frazier,Mammal,Tundra,Herbivore,Vulnerable,Antarctica
330,Miguel Lizard,Golden Cole,Bird,Ocean,Herbivore,Near Threatened,Antarctica
331,Marilyn Eagle,Carr Melton,Reptile,Wetlands,Carnivore,Critically Endangered,South America
332,Shelley Wolf,Boyd Gray,Mammal,Desert,Herbivore,Vulnerable,South America
333,Jennifer Bear,Wright Donovan,Mammal,Grasslands,Omnivore,Endangered,Africa
334,Maria Lizard,Washington Gomez,Bird,Forest,Omnivore,Endangered,Worldwide
335,Leroy Tiger,Henry Wilkerson,Amphibian,Grasslands,Carnivore,Critically Endangered,Europe
336,Rachel Owl,Flynn Solis,Mammal,Rivers,Herbivore,Critically Endangered,South America
337,Peter Bear,Miller Foster,Amphibian,Grasslands,Herbivore,Least Concern,Antarctica
338,Christina Lizard,Payne Watkins,Bird,Desert,Herbivore,Endangered,Europe
339,Bryan Python,Brown Williams,Amphibian,Grasslands,Omnivore,Near Threatened,South America
340,Maria Tiger,Hunt Dickerson,Fish,Forest,Herbivore,Vulnerable,Australia
341,Destiny Puma,Herring Pope,Bird,Desert,Omnivore,Vulnerable,Worldwide
342,Jose Shark,Yates Sullivan,Amphibian,Desert,Carnivore,Near Threatened,Australia
343,Christopher Tiger,Young Rivera,Bird,Wetlands,Omnivore,Endangered,Australia
344,Nicole Tiger,Sims Keith,Bird,Caves,Omnivore,Endangered,Africa
345,Kimberly Shark,Jones Smith,Amphibian,Rivers,Carnivore,Vulnerable,Worldwide
346,Taylor Python,Wilson Ayala,Bird,Desert,Herbivore,Least Concern,Asia
347,Stacy Crocodile,Lewis Carroll,Amphibian,Rivers,Omnivore,Near Threatened,Asia
348,Eric Tiger,Diaz Hicks,Fish,Caves,Carnivore,Critically Endangered,Europe
349,Christopher Python,Garcia Fleming,Fish,Ocean,Carnivore,Least Concern,Worldwide
350,Cameron Crocodile,Hughes Smith,Amphibian,Ocean,Carnivore,Endangered,Worldwide
351,Hailey Eagle,Clay Beck,Amphibian,Grasslands,Omnivore,Vulnerable,Antarctica
352,Jennifer Eagle,Taylor Ruiz,Bird,Caves,Herbivore,Near Threatened,Worldwide
353,Keith Owl,Mccarthy Jones,Amphibian,Tundra,Carnivore,Endangered,Australia
354,Matthew Wolf,Watson Wilson,Amphibian,Caves,Omnivore,Endangered,North America
355,Jennifer Bear,Thompson Cross,Bird,Mountains,Omnivore,Endangered,Europe
356,Kyle Crocodile,Brown Wise,Bird,Mountains,Omnivore,Critically Endangered,Africa
357,Michael Wolf,Smith Morse,Amphibian,Forest,Herbivore,Near Threatened,Antarctica
358,Stacey Falcon,Mccarty Thomas,Fish,Rivers,Herbivore,Least Concern,Australia
359,Taylor Shark,Meyer Wright,Fish,Rivers,Carnivore,Critically Endangered,Europe
360,Traci Crocodile,King Stephenson,Reptile,Grasslands,Carnivore,Least Concern,Europe
361,Christopher Bear,Berry Carroll,Bird,Desert,Herbivore,Near Threatened,North America
362,John Python,Reynolds Jackson,Mammal,Caves,Carnivore,Endangered,South America
363,Melinda Falcon,Morales Wilson,Bird,Tundra,Carnivore,Least Concern,North America
364,James Bear,Johnson Cunningham,Bird,Tundra,Omnivore,Endangered,Africa
365,Maria Lizard,Stevens Brooks,Bird,Grasslands,Omnivore,Vulnerable,Worldwide
366,Jill Eagle,Bailey Wolfe,Fish,Mountains,Carnivore,Endangered,Australia
367,Stephanie Lizard,Kim Adams,Amphibian,Mountains,Herbivore,Near Threatened,North America
368,James Eagle,Williams Collier,Bird,Grasslands,Omnivore,Least Concern,Africa
369,Melissa Wolf,White Morales,Fish,Wetlands,Omnivore,Critically Endangered,Antarctica
370,Chad Owl,Hansen Cunningham,Bird,Tundra,Omnivore,Vulnerable,Australia
371,Christy Bear,Freeman Ramirez,Reptile,Tundra,Omnivore,Critically Endangered,North America
372,Patrick Bear,Shaw Underwood,Fish,Mountains,Herbivore,Critically Endangered,Asia
373,Allen Wolf,Welch Meadows,Mammal,Mountains,Herbivore,Critically Endangered,Australia
374,Christopher Shark,Le Wheeler,Mammal,Desert,Carnivore,Least Concern,Asia
375,Latasha Shark,Thompson Kemp,Bird,Forest,Herbivore,Least Concern,Asia
376,Laura Eagle,Thompson Kirk,Amphibian,Tundra,Omnivore,Least Concern,North America
377,John Tiger,Blake Brady,Reptile,Savannah,Omnivore,Least Concern,Antarctica
378,Christine Shark,Edwards Thomas,Bird,Tundra,Omnivore,Near Threatened,Asia
379,John Crocodile,Malone Larson,Amphibian,Rivers,Herbivore,Endangered,North America
380,Kristi Wolf,Mcgee Smith,Amphibian,Ocean,Carnivore,Vulnerable,Australia
381,Rhonda Shark,Campbell Hogan,Reptile,Rivers,Herbivore,Critically Endangered,Africa
382,Pamela Puma,Miller Carson,Bird,Forest,Carnivore,Near Threatened,Asia
383,James Eagle,Thomas Morris,Fish,Tundra,Carnivore,Vulnerable,Asia
384,Christopher Eagle,Mason Horton,Bird,Caves,Carnivore,Critically Endangered,Australia
385,Elizabeth Bear,Cain Christensen,Amphibian,Wetlands,Herbivore,Endangered,Africa
386,Kristin Falcon,Baker George,Mammal,Caves,Herbivore,Least Concern,Antarctica
387,Susan Falcon,Montoya Russell,Bird,Rivers,Omnivore,Endangered,Worldwide
388,Veronica Lizard,Ramirez Patterson,Reptile,Desert,Omnivore,Least Concern,South America
389,Tyler Shark,Jenkins Soto,Reptile,Ocean,Herbivore,Critically Endangered,Australia
390,Kayla Puma,Hudson Vance,Bird,Tundra,Carnivore,Endangered,Asia
391,Michael Shark,Williams Baker,Bird,Savannah,Carnivore,Near Threatened,Antarctica
392,John Wolf,Johnson Leonard,Fish,Desert,Herbivore,Critically Endangered,Asia
393,Megan Falcon,Rodriguez Alvarado,Reptile,Wetlands,Herbivore,Vulnerable,Antarctica
394,Marc Crocodile,Hansen Middleton,Mammal,Ocean,Carnivore,Least Concern,Worldwide
395,Melanie Wolf,Williams Smith,Bird,Forest,Carnivore,Endangered,Worldwide
396,Morgan Eagle,Reynolds Silva,Reptile,Wetlands,Herbivore,Near Threatened,Australia
397,Shannon Puma,Yang Duncan,Amphibian,Rivers,Omnivore,Least Concern,South America
398,Brian Tiger,Rojas George,Amphibian,Caves,Carnivore,Least Concern,South America
399,William Falcon,Anderson Marquez,Bird,Savannah,Herbivore,Least Concern,Europe
400,Joshua Crocodile,Cooper Cohen,Reptile,Mountains,Herbivore,Least Concern,Europe
401,Tiffany Tiger,Gonzalez Jenkins,Fish,Mountains,Omnivore,Endangered,North America
402,Kyle Crocodile,Alvarado Hood,Bird,Ocean,Carnivore,Vulnerable,Australia
403,Michael Bear,Walker Johnson,Fish,Desert,Omnivore,Vulnerable,Asia
404,Heather Python,Freeman Williams,Bird,Caves,Carnivore,Vulnerable,Europe
405,David Wolf,Brown Hernandez,Amphibian,Tundra,Herbivore,Near Threatened,Africa
406,Amanda Lizard,Berger Jennings,Reptile,Rivers,Omnivore,Near Threatened,Asia
407,Kathryn Lizard,Woods Solomon,Bird,Savannah,Herbivore,Critically Endangered,Worldwide
408,Timothy Owl,Sullivan Owen,Bird,Ocean,Omnivore,Endangered,Europe
409,Aaron Shark,Wright Smith,Bird,Ocean,Herbivore,Least Concern,Europe
410,Lisa Crocodile,Lewis Gross,Bird,Mountains,Omnivore,Vulnerable,North America
411,Juan Tiger,Herrera Perkins,Bird,Wetlands,Herbivore,Least Concern,Asia
412,Douglas Owl,Allen Brown,Mammal,Wetlands,Carnivore,Critically Endangered,North America
413,Raymond Eagle,Harris Burns,Reptile,Wetlands,Herbivore,Near Threatened,South America
414,Ralph Eagle,Ibarra Villarreal,Reptile,Forest,Omnivore,Least Concern,Europe
415,William Wolf,Vazquez Cline,Mammal,Rivers,Carnivore,Near Threatened,Worldwide
416,David Falcon,Allison Williams,Fish,Wetlands,Carnivore,Vulnerable,Europe
417,Jennifer Bear,Moore Moore,Mammal,Ocean,Omnivore,Least Concern,Europe
418,Priscilla Eagle,Ryan Soto,Reptile,Savannah,Omnivore,Vulnerable,Australia
419,Jessica Crocodile,Spencer Payne,Bird,Mountains,Carnivore,Endangered,Worldwide
420,Julie Crocodile,White Sheppard,Reptile,Ocean,Omnivore,Endangered,Asia
421,Roberto Shark,Ayala Rasmussen,Mammal,Desert,Omnivore,Endangered,Asia
422,Albert Wolf,Morgan Newton,Amphibian,Savannah,Carnivore,Critically Endangered,Africa
423,Rebecca Wolf,Vasquez Bird,Fish,Tundra,Carnivore,Least Concern,Antarctica
424,Jessica Bear,Tanner Barker,Reptile,Tundra,Herbivore,Critically Endangered,Asia
425,Sandra Lizard,Cantu Zuniga,Fish,Forest,Herbivore,Endangered,Europe
426,Lindsey Tiger,Juarez Miranda,Amphibian,Tundra,Carnivore,Least Concern,Worldwide
427,Donald Wolf,Cunningham Hall,Reptile,Rivers,Carnivore,Endangered,Europe
428,Kristi Python,Graham Cooke,Reptile,Forest,Carnivore,Endangered,Africa
429,Erin Crocodile,Holloway Lewis,Amphibian,Savannah,Omnivore,Near Threatened,Europe
430,Misty Falcon,Weber Sanders,Amphibian,Forest,Carnivore,Critically Endangered,Europe
431,Adam Falcon,Nelson Scott,Reptile,Rivers,Omnivore,Least Concern,Antarctica
432,Jonathan Shark,Watson Elliott,Reptile,Desert,Omnivore,Near Threatened,North America
433,William Puma,Gonzalez Murray,Reptile,Savannah,Herbivore,Critically Endangered,South America
434,Jeremy Eagle,Shea Wagner,Bird,Rivers,Omnivore,Near Threatened,Worldwide
435,Nicholas Bear,Clark Weaver,Reptile,Tundra,Omnivore,Vulnerable,Africa
436,Pamela Tiger,Stanley Jordan,Mammal,Ocean,Omnivore,Endangered,Europe
437,Frances Wolf,Gomez Aguirre,Mammal,Savannah,Carnivore,Least Concern,Worldwide
438,Kevin Shark,Perkins Fox,Bird,Mountains,Omnivore,Near Threatened,Worldwide
439,Donna Crocodile,Watson Tate,Bird,Grasslands,Omnivore,Vulnerable,Antarctica
440,Kimberly Tiger,Burnett Bradshaw,Reptile,Savannah,Carnivore,Least Concern,Asia
441,Nicole Crocodile,Mullins Trevino,Reptile,Savannah,Carnivore,Vulnerable,Antarctica
442,Michelle Python,James Riley,Amphibian,Desert,Herbivore,Vulnerable,North America
443,Billy Crocodile,Aguilar Bradley,Bird,Caves,Herbivore,Endangered,South America
444,Benjamin Falcon,Woodard Brown,Bird,Ocean,Herbivore,Near Threatened,South America
445,Tony Crocodile,Howard Flores,Fish,Ocean,Herbivore,Critically Endangered,Africa
446,Rachel Shark,Weaver Lindsey,Bird,Grasslands,Carnivore,Vulnerable,Antarctica
447,Melanie Puma,Long Colon,Amphibian,Savannah,Carnivore,Least Concern,Antarctica
448,Tiffany Wolf,Potter Brown,Bird,Desert,Omnivore,Least Concern,Antarctica
449,David Bear,Mendez Walker,Mammal,Savannah,Omnivore,Least Concern,Australia
450,Brandi Tiger,Douglas Phillips,Mammal,Rivers,Omnivore,Endangered,North America
451,Sandra Eagle,Woods Gomez,Reptile,Ocean,Omnivore,Near Threatened,Asia
452,Joshua Lizard,Pope Peterson,Fish,Grasslands,Herbivore,Vulnerable,Worldwide
453,Zachary Python,Davis Mcclure,Amphibian,Ocean,Omnivore,Critically Endangered,Africa
454,Eric Wolf,Edwards Franco,Mammal,Savannah,Herbivore,Vulnerable,Europe
455,William Shark,Jackson Orr,Amphibian,Desert,Omnivore,Least Concern,Worldwide
456,Patrick Bear,Nelson Prince,Mammal,Desert,Carnivore,Critically Endangered,Europe
457,Charles Lizard,Nguyen Gibson,Reptile,Grasslands,Omnivore,Critically Endangered,Worldwide
458,Brooke Puma,Robinson Jackson,Mammal,Rivers,Herbivore,Endangered,Australia
459,Evan Python,Strickland Cline,Reptile,Grasslands,Carnivore,Near Threatened,South America
460,John Tiger,Moss Cook,Reptile,Wetlands,Omnivore,Near Threatened,Africa
461,Steven Tiger,Williams Kirby,Fish,Mountains,Omnivore,Endangered,Antarctica
462,Javier Owl,Haley Olson,Bird,Wetlands,Omnivore,Critically Endangered,Worldwide
463,Michael Owl,Martin Cook,Mammal,Tundra,Herbivore,Vulnerable,Worldwide
464,Tiffany Shark,Patton Kim,Reptile,Grasslands,Herbivore,Near Threatened,South America
465,Pam Crocodile,Alexander Ramsey,Reptile,Ocean,Herbivore,Endangered,Antarctica
466,Matthew Lizard,Knox Hill,Fish,Mountains,Omnivore,Critically Endangered,Antarctica
467,Elizabeth Python,Black Johnson,Amphibian,Grasslands,Herbivore,Critically Endangered,North America
468,Austin Wolf,Wells Moreno,Reptile,Rivers,Herbivore,Vulnerable,Asia
469,Samantha Bear,Dixon Orr,Amphibian,Wetlands,Carnivore,Near Threatened,Worldwide
470,Mary Crocodile,Galloway Noble,Reptile,Tundra,Herbivore,Vulnerable,Europe
471,Sonia Eagle,Cunningham Reynolds,Bird,Grasslands,Omnivore,Critically Endangered,Asia
472,Charles Shark,Jones Francis,Bird,Caves,Herbivore,Least Concern,Europe
473,Linda Owl,Wright Thomas,Reptile,Desert,Herbivore,Vulnerable,Antarctica
474,Sara Python,Moreno Lyons,Bird,Grasslands,Carnivore,Vulnerable,South America
475,Ralph Python,Villegas Rodriguez,Bird,Savannah,Herbivore,Vulnerable,Australia
476,Alexis Owl,Kim Sullivan,Fish,Grasslands,Carnivore,Endangered,Asia
477,Eric Wolf,Williams Nguyen,Bird,Forest,Omnivore,Near Threatened,Antarctica
478,John Owl,Williams Aguilar,Amphibian,Wetlands,Omnivore,Near Threatened,Europe
479,Gina Owl,Baker Fisher,Mammal,Rivers,Carnivore,Endangered,Antarctica
480,Cindy Crocodile,Ferguson Stewart,Fish,Caves,Omnivore,Endangered,Asia
481,Joseph Tiger,Rojas Smith,Reptile,Savannah,Omnivore,Near Threatened,Antarctica
482,Joseph Bear,Burns Wheeler,Bird,Caves,Omnivore,Least Concern,Europe
483,John Wolf,Sharp Bryant,Reptile,Forest,Carnivore,Vulnerable,Europe
484,Kelly Owl,Bowen Cunningham,Fish,Savannah,Herbivore,Vulnerable,Asia
485,Miguel Wolf,Fowler Shea,Fish,Desert,Herbivore,Endangered,North America
486,Jamie Lizard,Ortiz Schneider,Mammal,Desert,Omnivore,Vulnerable,Africa
487,Dana Wolf,Long Smith,Amphibian,Wetlands,Herbivore,Near Threatened,North America
488,Michael Owl,Smith Ellis,Amphibian,Wetlands,Herbivore,Near Threatened,North America
489,Melanie Wolf,Noble Mercado,Reptile,Ocean,Omnivore,Least Concern,Worldwide
490,Emma Tiger,Sullivan Reed,Mammal,Savannah,Herbivore,Critically Endangered,South America
491,Daniel Bear,Miles Anderson,Mammal,Caves,Herbivore,Endangered,Antarctica
492,Mitchell Tiger,Taylor Washington,Amphibian,Grasslands,Carnivore,Critically Endangered,Worldwide
493,Drew Wolf,King Hale,Reptile,Tundra,Herbivore,Near Threatened,Antarctica
494,Taylor Eagle,Wong Arnold,Reptile,Desert,Carnivore,Vulnerable,Australia
495,Jennifer Owl,Craig Thomas,Amphibian,Wetlands,Herbivore,Vulnerable,Asia
496,Melissa Owl,Weaver Carpenter,Bird,Tundra,Herbivore,Near Threatened,Worldwide
497,Jennifer Eagle,Jones White,Mammal,Grasslands,Carnivore,Endangered,South America
498,Raymond Puma,Donaldson Clark,Mammal,Forest,Omnivore,Least Concern,North America
499,George Crocodile,Morris Lee,Reptile,Ocean,Carnivore,Endangered,Asia
500,Pamela Crocodile,Giles Galloway,Fish,Grasslands,Omnivore,Least Concern,South America
501,Jennifer Lizard,Robinson Young,Bird,Grasslands,Herbivore,Critically Endangered,Africa
502,Angela Crocodile,Carpenter Burton,Reptile,Ocean,Omnivore,Least Concern,North America
503,Anna Shark,Mccarty Romero,Bird,Tundra,Carnivore,Least Concern,Africa
504,Shawn Falcon,Gonzalez Moss,Reptile,Caves,Omnivore,Endangered,South America
505,Katherine Python,Wilkins Valdez,Reptile,Caves,Herbivore,Near Threatened,South America
506,Olivia Shark,Flores Hurley,Fish,Wetlands,Omnivore,Vulnerable,Africa
507,Aaron Shark,Gonzalez Fitzgerald,Fish,Mountains,Carnivore,Near Threatened,North America
508,Zachary Falcon,Hall Brown,Reptile,Desert,Omnivore,Near Threatened,North America
509,Cynthia Python,Williams Long,Fish,Caves,Omnivore,Least Concern,Europe
510,Bridget Falcon,Osborn Williams,Reptile,Grasslands,Herbivore,Endangered,Asia
511,Deborah Eagle,Green White,Amphibian,Grasslands,Herbivore,Endangered,Antarctica
512,Zachary Crocodile,Peterson Wallace,Bird,Caves,Carnivore,Least Concern,South America
513,Laura Tiger,Arnold Mcdonald,Mammal,Tundra,Carnivore,Least Concern,Antarctica
514,Bobby Python,Garcia Russo,Bird,Ocean,Omnivore,Endangered,South America
515,John Shark,Mcguire Garner,Fish,Ocean,Omnivore,Vulnerable,South America
516,Andrew Wolf,Harris Pham,Bird,Caves,Omnivore,Least Concern,Australia
517,John Lizard,Morales Porter,Reptile,Grasslands,Omnivore,Critically Endangered,Europe
518,Susan Shark,Copeland Payne,Amphibian,Caves,Omnivore,Critically Endangered,Europe
519,Karen Tiger,White Goodwin,Bird,Mountains,Omnivore,Near Threatened,Antarctica
520,Jessica Falcon,Weaver Zuniga,Reptile,Caves,Omnivore,Endangered,North America
521,Scott Tiger,Jones Lee,Amphibian,Desert,Herbivore,Critically Endangered,Africa
522,Robert Python,Mcfarland Glover,Mammal,Savannah,Carnivore,Least Concern,South America
523,Lisa Lizard,Hernandez Taylor,Fish,Tundra,Carnivore,Near Threatened,Asia
524,Shannon Eagle,Adkins White,Fish,Caves,Herbivore,Critically Endangered,Australia
525,Miguel Bear,Shepard Lawson,Fish,Mountains,Carnivore,Least Concern,Antarctica
526,Shelly Bear,Price Ayala,Mammal,Tundra,Herbivore,Near Threatened,Europe
527,Melissa Puma,Davis Kelly,Mammal,Savannah,Herbivore,Near Threatened,Asia
528,Jeffery Lizard,Williams Austin,Amphibian,Grasslands,Herbivore,Critically Endangered,Asia
529,Alexander Owl,Wilson Ho,Mammal,Tundra,Herbivore,Critically Endangered,North America
530,Andrew Eagle,Rodriguez Smith,Reptile,Mountains,Herbivore,Vulnerable,Antarctica
531,Austin Falcon,Horton Dillon,Amphibian,Rivers,Carnivore,Least Concern,Africa
532,Sarah Puma,Miller Cordova,Bird,Wetlands,Omnivore,Near Threatened,Africa
533,Anna Shark,Nguyen Foster,Fish,Forest,Omnivore,Vulnerable,Australia
534,Allison Owl,Wilson Bennett,Fish,Desert,Omnivore,Near Threatened,Asia
535,Stephen Falcon,Floyd Schultz,Fish,Wetlands,Carnivore,Vulnerable,Australia
536,Philip Owl,Christensen Moore,Reptile,Ocean,Herbivore,Near Threatened,Europe
537,Daniel Puma,Lester Meyer,Bird,Caves,Herbivore,Vulnerable,Worldwide
538,Michael Tiger,Ramos Levy,Amphibian,Desert,Carnivore,Least Concern,South America
539,James Puma,Garcia Brown,Bird,Forest,Herbivore,Near Threatened,Africa
540,Nicole Owl,Parsons Lewis,Amphibian,Desert,Omnivore,Least Concern,Australia
541,Erica Crocodile,Thompson Stevens,Bird,Forest,Herbivore,Least Concern,Antarctica
542,Angela Bear,Long Delgado,Mammal,Wetlands,Herbivore,Least Concern,South America
543,Kenneth Eagle,Smith Fischer,Amphibian,Caves,Omnivore,Endangered,Europe
544,Nancy Tiger,Duncan Davis,Bird,Wetlands,Herbivore,Least Concern,Antarctica
545,Wendy Bear,Medina Washington,Fish,Savannah,Omnivore,Critically Endangered,Worldwide
546,Barbara Tiger,Bennett Davis,Reptile,Caves,Carnivore,Vulnerable,North America
547,Colleen Puma,Chavez Mills,Bird,Ocean,Herbivore,Endangered,Asia
548,Luis Bear,Howell Quinn,Mammal,Wetlands,Herbivore,Near Threatened,Australia
549,Ryan Bear,Miranda Price,Bird,Grasslands,Herbivore,Vulnerable,Europe
550,Eric Eagle,Bailey Vincent,Reptile,Tundra,Herbivore,Endangered,Antarctica
551,Aaron Puma,Butler Howell,Fish,Wetlands,Carnivore,Least Concern,South America
552,Jake Tiger,Hale Petersen,Mammal,Tundra,Omnivore,Endangered,Australia
553,Christine Falcon,Thornton Richardson,Reptile,Grasslands,Carnivore,Least Concern,North America
554,Arthur Wolf,Pham Thompson,Bird,Wetlands,Omnivore,Near Threatened,South America
555,Evan Puma,Daugherty Wilson,Fish,Savannah,Herbivore,Near Threatened,Antarctica
556,Natasha Eagle,Phillips Price,Reptile,Mountains,Carnivore,Least Concern,North America
557,Jasmin Wolf,Mckenzie Wright,Fish,Caves,Omnivore,Vulnerable,Antarctica
558,Jennifer Crocodile,Hampton Horn,Reptile,Rivers,Herbivore,Critically Endangered,Asia
559,Laura Wolf,Ward Marshall,Bird,Caves,Omnivore,Vulnerable,Africa
560,Bryan Puma,Davis Sims,Reptile,Wetlands,Carnivore,Near Threatened,Australia
561,Melissa Tiger,Henry Pena,Mammal,Caves,Carnivore,Vulnerable,Europe
562,Joseph Tiger,Jackson Garza,Fish,Wetlands,Omnivore,Vulnerable,Australia
563,Mary Lizard,Tucker Rogers,Bird,Savannah,Carnivore,Vulnerable,South America
564,James Falcon,Choi Blake,Fish,Ocean,Omnivore,Endangered,Africa
565,Courtney Owl,Quinn Cruz,Bird,Forest,Herbivore,Endangered,South America
566,Adam Python,Freeman Jones,Fish,Rivers,Carnivore,Endangered,Worldwide
567,Clayton Puma,Bishop Fowler,Fish,Mountains,Carnivore,Endangered,Australia
568,Kristine Puma,Jenkins Reilly,Reptile,Wetlands,Herbivore,Near Threatened,North America
569,Michelle Puma,Mcdonald Ward,Amphibian,Caves,Omnivore,Critically Endangered,Europe
570,Gary Bear,Odonnell Smith,Mammal,Grasslands,Carnivore,Near Threatened,Europe
571,Amanda Tiger,Jackson Ellis,Mammal,Grasslands,Carnivore,Vulnerable,Europe
572,William Crocodile,Cisneros Silva,Mammal,Ocean,Omnivore,Near Threatened,Antarctica
573,Jessica Falcon,Wilson Tyler,Amphibian,Mountains,Carnivore,Endangered,Antarctica
574,Aaron Eagle,Hull Gray,Fish,Grasslands,Omnivore,Vulnerable,North America
575,Denise Eagle,Cobb Kent,Reptile,Mountains,Herbivore,Critically Endangered,Europe
576,Daniel Python,Peck Morris,Fish,Desert,Omnivore,Endangered,Asia
577,Jill Python,Jackson Cruz,Fish,Ocean,Herbivore,Critically Endangered,Australia
578,Christopher Tiger,Kim Villa,Amphibian,Desert,Carnivore,Endangered,North America
579,Tracey Lizard,Villegas Montgomery,Reptile,Wetlands,Herbivore,Vulnerable,Europe
580,Michael Bear,Mcdonald Thompson,Amphibian,Wetlands,Carnivore,Critically Endangered,South America
581,John Bear,Roman Garcia,Fish,Desert,Omnivore,Vulnerable,Asia
582,Amy Lizard,Watts Bautista,Fish,Mountains,Omnivore,Endangered,Worldwide
583,Jason Eagle,Li Lane,Fish,Forest,Herbivore,Least Concern,Africa
584,Elizabeth Puma,Arroyo Rich,Amphibian,Savannah,Omnivore,Critically Endangered,Africa
585,James Falcon,Lee Miller,Amphibian,Wetlands,Omnivore,Vulnerable,Europe
586,Brian Wolf,Mccormick Smith,Reptile,Desert,Omnivore,Critically Endangered,Europe
587,Jonathan Crocodile,Jefferson Olson,Mammal,Grasslands,Herbivore,Vulnerable,Africa
588,Angela Crocodile,Garcia Dixon,Mammal,Savannah,Carnivore,Endangered,South America
589,Jamie Lizard,Trujillo Silva,Fish,Tundra,Carnivore,Critically Endangered,North America
590,Joan Falcon,Williams Kelley,Fish,Rivers,Herbivore,Critically Endangered,Africa
591,David Bear,White Garrison,Bird,Desert,Herbivore,Critically Endangered,North America
592,Dakota Falcon,Johnson Williams,Fish,Rivers,Carnivore,Near Threatened,South America
593,Michael Falcon,Bell Baker,Reptile,Mountains,Omnivore,Least Concern,Australia
594,Mackenzie Shark,Schultz Huffman,Mammal,Wetlands,Carnivore,Least Concern,Africa
595,Kari Lizard,Kent Sanchez,Bird,Tundra,Carnivore,Vulnerable,Asia
596,Samuel Wolf,Dixon Page,Bird,Caves,Herbivore,Vulnerable,Asia
597,Susan Bear,Hall Brown,Bird,Caves,Carnivore,Least Concern,Worldwide
598,Nicholas Lizard,Thomas White,Mammal,Rivers,Omnivore,Near Threatened,Australia
599,Jerry Eagle,Atkinson Edwards,Amphibian,Forest,Carnivore,Critically Endangered,Europe
600,Jon Crocodile,Lawson Dickerson,Reptile,Savannah,Carnivore,Near Threatened,South America
601,Angela Bear,Goodman Sutton,Fish,Desert,Omnivore,Vulnerable,Australia
602,Michael Eagle,Reyes Mills,Reptile,Wetlands,Omnivore,Near Threatened,Worldwide
603,Sarah Lizard,Kennedy Roberson,Bird,Desert,Omnivore,Near Threatened,Australia
604,John Python,Miles Walker,Fish,Tundra,Carnivore,Critically Endangered,Asia
605,Edward Wolf,Williams Schwartz,Fish,Ocean,Omnivore,Critically Endangered,Antarctica
606,Katrina Eagle,Taylor Austin,Reptile,Rivers,Carnivore,Near Threatened,Worldwide
607,Valerie Python,Colon Griffin,Reptile,Caves,Omnivore,Least Concern,Africa
608,Alan Eagle,Miller Wagner,Mammal,Forest,Carnivore,Least Concern,Europe
609,Yvette Wolf,Perez Miranda,Reptile,Caves,Omnivore,Critically Endangered,Worldwide
610,Laurie Falcon,Ferrell Gonzalez,Bird,Grasslands,Omnivore,Near Threatened,Africa
611,Juan Crocodile,Rowland Pennington,Bird,Grasslands,Carnivore,Near Threatened,Europe
612,Gina Eagle,Avery Martin,Fish,Savannah,Herbivore,Vulnerable,Antarctica
613,Alexis Crocodile,Pierce Dixon,Mammal,Ocean,Omnivore,Endangered,Worldwide
614,Stephanie Python,Hardin Duncan,Fish,Desert,Herbivore,Vulnerable,Australia
615,Mary Puma,Lopez Norman,Mammal,Savannah,Herbivore,Critically Endangered,Australia
616,Joseph Python,Hill Hernandez,Reptile,Rivers,Herbivore,Critically Endangered,Antarctica
617,Ann Owl,Gray Mendoza,Amphibian,Forest,Omnivore,Critically Endangered,Europe
618,Ronald Wolf,Williams Simmons,Mammal,Grasslands,Omnivore,Near Threatened,Africa
619,Thomas Tiger,Barry Hatfield,Bird,Wetlands,Herbivore,Endangered,South America
